,seq_depth,n_samples,fold,metric,method name,test statistic name,sample size,number of groups,test statistic,p-value,number of permutations
49,20000,4,5,Bray-Curtis,PERMANOVA,pseudo-F,464,2,5.763557099224558,0.5,1
50,150000,4,1,Jaccard,PERMANOVA,pseudo-F,464,2,4.572457086252254,0.5,1
51,10000,4,1,Bray-Curtis,PERMANOVA,pseudo-F,464,2,5.872546717322998,0.5,1
52,50000,6,14,FT-SVD,PERMANOVA,pseudo-F,488,2,16.227406949010884,0.5,1
53,100000,4,18,FT-SVD,PERMANOVA,pseudo-F,465,2,12.248291989003281,0.5,1
54,100000,2,15,FT-SVD,PERMANOVA,pseudo-F,292,2,6.565381686203007,0.5,1
55,150000,3,13,Bray-Curtis,PERMANOVA,pseudo-F,406,2,3.989587283719634,0.5,1
56,150000,4,9,FT-SVD,PERMANOVA,pseudo-F,465,2,14.004039847501678,0.5,1
57,50000,6,2,FT-SVD,PERMANOVA,pseudo-F,488,2,17.08422405921594,0.5,1
58,150000,2,1,FT-SVD,PERMANOVA,pseudo-F,292,2,7.301740083763838,0.5,1
59,20000,2,8,Jaccard,PERMANOVA,pseudo-F,292,2,2.730973823286643,0.5,1
60,100000,6,4,Bray-Curtis,PERMANOVA,pseudo-F,487,2,5.763758402634247,0.5,1
61,50000,4,13,CTF,PERMANOVA,pseudo-F,465,2,8.65783590072058,0.5,1
62,20000,5,4,Bray-Curtis,PERMANOVA,pseudo-F,482,2,6.16686542982024,0.5,1
63,150000,5,6,CTF,PERMANOVA,pseudo-F,483,2,12.235828130910752,0.5,1
64,150000,2,18,CTF,PERMANOVA,pseudo-F,292,2,7.921729959912451,0.5,1
65,150000,3,2,FT-SVD,PERMANOVA,pseudo-F,407,2,9.271288649697123,0.5,1
66,100000,3,4,Jaccard,PERMANOVA,pseudo-F,406,2,2.717056864001077,0.5,1
67,50000,6,8,CTF,PERMANOVA,pseudo-F,488,2,8.018431718027998,0.5,1
68,20000,6,13,CTF,PERMANOVA,pseudo-F,488,2,6.553374255779375,0.5,1
69,10000,6,3,Jaccard,PERMANOVA,pseudo-F,487,2,4.052440143544634,0.5,1
70,50000,4,20,Bray-Curtis,PERMANOVA,pseudo-F,464,2,6.187330651419503,0.5,1
71,50000,3,12,FT-SVD,PERMANOVA,pseudo-F,407,2,11.638974162171856,0.5,1
72,150000,4,12,Bray-Curtis,PERMANOVA,pseudo-F,464,2,5.217666082964978,0.5,1
73,100000,6,2,FT-SVD,PERMANOVA,pseudo-F,488,2,16.56454858986847,0.5,1
74,50000,2,6,Jaccard,PERMANOVA,pseudo-F,291,2,2.014277481041889,0.5,1
75,10000,2,2,CTF,PERMANOVA,pseudo-F,292,2,2.5037528168095036,0.5,1
76,100000,5,11,FT-SVD,PERMANOVA,pseudo-F,483,2,15.571336744554443,0.5,1
77,20000,6,10,Jaccard,PERMANOVA,pseudo-F,487,2,4.146200105542977,0.5,1
78,10000,5,12,Jaccard,PERMANOVA,pseudo-F,482,2,4.095963363976081,0.5,1
79,20000,2,7,CTF,PERMANOVA,pseudo-F,292,2,2.013888324376854,0.5,1
80,50000,3,2,Jaccard,PERMANOVA,pseudo-F,406,2,3.1092677357092002,0.5,1
81,10000,2,19,Jaccard,PERMANOVA,pseudo-F,292,2,1.879826577117895,0.5,1
82,10000,3,17,Jaccard,PERMANOVA,pseudo-F,406,2,2.8532802653728244,0.5,1
83,20000,5,15,Bray-Curtis,PERMANOVA,pseudo-F,482,2,5.584826644466342,0.5,1
84,50000,2,19,CTF,PERMANOVA,pseudo-F,292,2,4.9060051256760415,0.5,1
85,100000,3,16,Jaccard,PERMANOVA,pseudo-F,406,2,3.522356170320336,0.5,1
86,100000,5,4,CTF,PERMANOVA,pseudo-F,483,2,12.56998680932872,0.5,1
87,150000,6,10,Jaccard,PERMANOVA,pseudo-F,487,2,3.849119520349883,0.5,1
88,20000,3,20,FT-SVD,PERMANOVA,pseudo-F,407,2,13.621173441687548,0.5,1
89,100000,2,18,Jaccard,PERMANOVA,pseudo-F,291,2,1.9199338244814226,0.5,1
90,50000,3,10,Bray-Curtis,PERMANOVA,pseudo-F,406,2,5.38457453247597,0.5,1
91,150000,4,12,CTF,PERMANOVA,pseudo-F,465,2,11.181602620850208,0.5,1
92,50000,3,12,Jaccard,PERMANOVA,pseudo-F,406,2,2.896783462167226,0.5,1
93,50000,4,19,Jaccard,PERMANOVA,pseudo-F,464,2,4.3155345409696055,0.5,1
94,100000,5,13,Jaccard,PERMANOVA,pseudo-F,482,2,4.153941224955771,0.5,1
95,50000,5,17,Jaccard,PERMANOVA,pseudo-F,482,2,3.4926557512404064,0.5,1
96,150000,6,14,FT-SVD,PERMANOVA,pseudo-F,488,2,14.686619828824396,0.5,1
97,20000,2,8,Bray-Curtis,PERMANOVA,pseudo-F,292,2,2.7004625919676415,0.5,1
98,100000,5,9,FT-SVD,PERMANOVA,pseudo-F,483,2,17.18974787288907,0.5,1
99,150000,6,6,Bray-Curtis,PERMANOVA,pseudo-F,487,2,5.8694604653017395,0.5,1
100,20000,3,9,Jaccard,PERMANOVA,pseudo-F,406,2,2.808997461940298,0.5,1
101,100000,3,1,FT-SVD,PERMANOVA,pseudo-F,407,2,13.840318153347528,0.5,1
102,150000,3,16,CTF,PERMANOVA,pseudo-F,407,2,9.42580552106465,0.5,1
103,10000,5,11,Bray-Curtis,PERMANOVA,pseudo-F,482,2,5.9266668960681494,0.5,1
104,10000,3,2,Bray-Curtis,PERMANOVA,pseudo-F,406,2,4.344447420463137,0.5,1
105,150000,2,2,CTF,PERMANOVA,pseudo-F,292,2,6.204947042231767,0.5,1
106,20000,6,19,Bray-Curtis,PERMANOVA,pseudo-F,487,2,5.836184051965941,0.5,1
107,100000,4,8,CTF,PERMANOVA,pseudo-F,465,2,9.934525191629918,0.5,1
108,150000,4,4,Jaccard,PERMANOVA,pseudo-F,464,2,3.1171033165048283,0.5,1
109,50000,3,17,CTF,PERMANOVA,pseudo-F,407,2,3.7426709015586885,0.5,1
110,50000,6,20,FT-SVD,PERMANOVA,pseudo-F,488,2,16.367639146022775,0.5,1
111,150000,6,1,FT-SVD,PERMANOVA,pseudo-F,488,2,16.329424651142173,0.5,1
112,50000,2,2,FT-SVD,PERMANOVA,pseudo-F,292,2,9.15247916172334,0.5,1
113,20000,3,6,Bray-Curtis,PERMANOVA,pseudo-F,406,2,5.068079004202387,0.5,1
114,150000,4,16,FT-SVD,PERMANOVA,pseudo-F,465,2,13.625852438580814,0.5,1
115,100000,6,11,CTF,PERMANOVA,pseudo-F,488,2,11.467944568536568,0.5,1
116,100000,3,11,Bray-Curtis,PERMANOVA,pseudo-F,406,2,4.4096511845821516,0.5,1
117,20000,5,3,CTF,PERMANOVA,pseudo-F,483,2,7.857797425669507,0.5,1
118,10000,5,6,CTF,PERMANOVA,pseudo-F,483,2,6.560701744979733,0.5,1
119,100000,2,20,Jaccard,PERMANOVA,pseudo-F,292,2,2.221652109358651,0.5,1
120,20000,2,2,Jaccard,PERMANOVA,pseudo-F,292,2,2.2570939026437244,0.5,1
121,100000,5,20,FT-SVD,PERMANOVA,pseudo-F,483,2,15.474368487722407,0.5,1
122,50000,4,2,CTF,PERMANOVA,pseudo-F,465,2,8.400483152378177,0.5,1
123,100000,5,18,Bray-Curtis,PERMANOVA,pseudo-F,482,2,6.047871263841077,0.5,1
124,150000,6,19,Bray-Curtis,PERMANOVA,pseudo-F,487,2,5.75350408700304,0.5,1
125,20000,3,6,Jaccard,PERMANOVA,pseudo-F,406,2,2.508271605411471,0.5,1
126,150000,6,11,CTF,PERMANOVA,pseudo-F,488,2,11.186554743585248,0.5,1
127,150000,3,17,FT-SVD,PERMANOVA,pseudo-F,407,2,7.8758769663230055,0.5,1
128,100000,2,7,FT-SVD,PERMANOVA,pseudo-F,292,2,5.2956549351182005,0.5,1
129,150000,2,6,Bray-Curtis,PERMANOVA,pseudo-F,291,2,2.9399383029979638,0.5,1
130,100000,2,16,Bray-Curtis,PERMANOVA,pseudo-F,291,2,3.783577567196589,0.5,1
131,100000,5,8,Bray-Curtis,PERMANOVA,pseudo-F,482,2,5.850714544342932,0.5,1
132,20000,6,8,Bray-Curtis,PERMANOVA,pseudo-F,487,2,5.7028442726375035,0.5,1
133,10000,3,20,Jaccard,PERMANOVA,pseudo-F,406,2,3.7872249653116685,0.5,1
134,20000,6,5,CTF,PERMANOVA,pseudo-F,488,2,6.788794461758015,0.5,1
135,10000,6,20,FT-SVD,PERMANOVA,pseudo-F,488,2,15.480668361524506,0.5,1
136,10000,3,18,Bray-Curtis,PERMANOVA,pseudo-F,406,2,4.130601141610608,0.5,1
137,20000,4,10,CTF,PERMANOVA,pseudo-F,465,2,9.12666711510216,0.5,1
138,100000,3,16,CTF,PERMANOVA,pseudo-F,407,2,7.248094615135041,0.5,1
139,150000,6,3,Jaccard,PERMANOVA,pseudo-F,487,2,3.9893368648212437,0.5,1
140,100000,4,6,Bray-Curtis,PERMANOVA,pseudo-F,464,2,6.065807695531946,0.5,1
141,10000,5,10,CTF,PERMANOVA,pseudo-F,483,2,6.672583537269753,0.5,1
142,50000,5,20,Jaccard,PERMANOVA,pseudo-F,482,2,4.23390399583362,0.5,1
143,50000,3,4,FT-SVD,PERMANOVA,pseudo-F,407,2,10.741365377677184,0.5,1
144,150000,3,8,Bray-Curtis,PERMANOVA,pseudo-F,406,2,4.81267126245632,0.5,1
145,50000,6,10,CTF,PERMANOVA,pseudo-F,488,2,8.162982520127004,0.5,1
146,10000,4,16,Bray-Curtis,PERMANOVA,pseudo-F,464,2,5.982543795313442,0.5,1
147,50000,6,15,Bray-Curtis,PERMANOVA,pseudo-F,487,2,5.827447997197736,0.5,1
148,20000,4,12,Bray-Curtis,PERMANOVA,pseudo-F,464,2,5.256833564183926,0.5,1
149,100000,2,10,FT-SVD,PERMANOVA,pseudo-F,292,2,13.204362813675418,0.5,1
150,50000,6,11,FT-SVD,PERMANOVA,pseudo-F,488,2,15.46469658613857,0.5,1
151,10000,4,4,Jaccard,PERMANOVA,pseudo-F,464,2,3.697995901803985,0.5,1
152,50000,5,19,Bray-Curtis,PERMANOVA,pseudo-F,482,2,5.806371477880972,0.5,1
153,100000,4,12,CTF,PERMANOVA,pseudo-F,465,2,9.088426800472847,0.5,1
154,20000,3,14,CTF,PERMANOVA,pseudo-F,407,2,3.4668520274136805,0.5,1
155,10000,2,14,CTF,PERMANOVA,pseudo-F,292,2,3.740466217868475,0.5,1
156,50000,2,17,Bray-Curtis,PERMANOVA,pseudo-F,291,2,2.729426527648671,0.5,1
157,50000,6,7,FT-SVD,PERMANOVA,pseudo-F,488,2,16.908921184582102,0.5,1
158,50000,3,6,CTF,PERMANOVA,pseudo-F,407,2,6.1462458936737,0.5,1
159,150000,2,4,FT-SVD,PERMANOVA,pseudo-F,292,2,4.627369689288707,0.5,1
160,100000,2,4,Bray-Curtis,PERMANOVA,pseudo-F,291,2,3.253077821545336,0.5,1
161,50000,2,9,Jaccard,PERMANOVA,pseudo-F,291,2,2.263915952693094,0.5,1
162,10000,4,20,CTF,PERMANOVA,pseudo-F,465,2,5.211650772651363,0.5,1
163,10000,4,13,Jaccard,PERMANOVA,pseudo-F,464,2,3.621656099275211,0.5,1
164,10000,3,18,Jaccard,PERMANOVA,pseudo-F,406,2,2.524393829079819,0.5,1
165,10000,2,16,Jaccard,PERMANOVA,pseudo-F,291,2,3.1299850419360418,0.5,1
166,100000,6,2,CTF,PERMANOVA,pseudo-F,488,2,11.617971611004144,0.5,1
167,50000,5,2,Bray-Curtis,PERMANOVA,pseudo-F,482,2,5.7829001394604544,0.5,1
168,100000,2,17,Jaccard,PERMANOVA,pseudo-F,291,2,2.619865723928758,0.5,1
169,100000,3,19,Jaccard,PERMANOVA,pseudo-F,406,2,3.367984864368508,0.5,1
170,50000,4,13,FT-SVD,PERMANOVA,pseudo-F,465,2,14.735662726064518,0.5,1
171,50000,2,13,Jaccard,PERMANOVA,pseudo-F,291,2,1.7024216145498139,0.5,1
172,50000,5,18,Jaccard,PERMANOVA,pseudo-F,482,2,4.239755984082011,0.5,1
173,100000,2,18,CTF,PERMANOVA,pseudo-F,292,2,7.3091499289792745,0.5,1
174,150000,5,15,Bray-Curtis,PERMANOVA,pseudo-F,482,2,5.5710427493848576,0.5,1
175,100000,6,14,Bray-Curtis,PERMANOVA,pseudo-F,487,2,5.824889925526632,0.5,1
176,100000,4,12,Jaccard,PERMANOVA,pseudo-F,464,2,3.7697344975008793,0.5,1
177,20000,5,20,CTF,PERMANOVA,pseudo-F,483,2,7.631120566039374,0.5,1
178,50000,4,16,Jaccard,PERMANOVA,pseudo-F,464,2,3.6152438082528215,0.5,1
179,150000,4,4,Bray-Curtis,PERMANOVA,pseudo-F,464,2,5.234701353914855,0.5,1
180,100000,3,5,Bray-Curtis,PERMANOVA,pseudo-F,406,2,5.117306619528229,0.5,1
181,50000,3,20,Jaccard,PERMANOVA,pseudo-F,406,2,3.5029431640248365,0.5,1
182,100000,6,7,FT-SVD,PERMANOVA,pseudo-F,488,2,16.196358304340702,0.5,1
183,100000,3,19,FT-SVD,PERMANOVA,pseudo-F,407,2,8.313691712633547,0.5,1
184,100000,5,14,FT-SVD,PERMANOVA,pseudo-F,483,2,15.389516543885769,0.5,1
185,150000,6,6,Jaccard,PERMANOVA,pseudo-F,487,2,3.784471416879511,0.5,1
186,10000,6,16,CTF,PERMANOVA,pseudo-F,488,2,4.764611172374423,0.5,1
187,150000,2,9,CTF,PERMANOVA,pseudo-F,292,2,6.861523242389343,0.5,1
