"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"59c6ed04d2faf081cecca31f1eb2e42d","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"0eb15dc6ca644533da15764998436274","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",NA
"ee02d6d3506da57909d5e603709a295f","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"c5af8314e36eaed98fc88f181f539e8f","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"b9024a1f377b62508864cfea59b16a31","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"0b05a2e48cdc5f9e766bb0f4c209d4b4","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"370829fece3190f1a8efccf50b7d0921","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"f12011ad5219b22b6ca790103333a755","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"59d031b8ba709e8da78b4c1f63c74f09","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"588a23811b3e98af68f4f0fb24a0daa8","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"6a129e8ae637c96e7bb56223913911f7","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"704d0070549f26fe1f99eb736cdc4c34","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA
"1bf05d12bfd387888facafd52c07a37b","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","helveticus"
"2ffcf53c5728bc9a71f862e99bc454f6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"fad561b7eab58e57b71a09a8b7f990c8","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"b75d05e361f46e33b39ef21d05334744","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Megasphaera",NA
"904f7b1ae29e6a78ff83eacd9ef9cda7","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"457d3865cf0a4bc602a07d8d5324388f","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"95f77f9e6df255cf93ec17c1a48bc194","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Dialister",NA
"42ac6d34b293d442987af367e2eb4f51","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ad52a0f6646c574417ce0b13b84acfa9","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","bromii"
"29ccf8b234ac00b114fb2c8e1c44f932","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea",NA
"74ec9fe6ffab4ecff6d5def74298a825","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium",NA
