"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"94b000e59b7ac160b0416c9ab45ff0bf","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
"10a9a0887483597b71cffa08dcda40de","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus",NA
"07bfddb8e62098a85afc8fd68ebc308c","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Epulopiscium",NA
"8e6e925baa81466352ff781a289e188d","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
"d0f1985c2b919dcbd0bf4664c844a900","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","[Clostridium]",NA
"914d665720e41337748116b656be6270","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA
"e8cff5dd9314935749206c1d83214d77","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella",NA
"def8acc0fc88cc9a9cf110370ecc2c37","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Bulleidia",NA
"4c1afcf47b47fc2850fae19210e27117","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Acidaminococcus",NA
"48e537eafb87fc4de5d87b022bc3fa66","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"992072d045462445dc239b35300af2cc","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"5d62137a2d05df0be8d6b7e163a3ef08","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Dialister",NA
"1634bc38311d3c868d1077602dc439f2","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Mitsuokella",NA
"f1da0f084f3e5b7957d11d01abe7013d","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter",NA
"c99c4c951e6f4745973043285ccf486b","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Petrobacter",NA
"ee2e7e1ec3775388a6a1000c5de4c483","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Sarcina",NA
"82b92d7bdaa0d4ed90f869f14acf5088","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia",NA
"59c4a678634e50b3fda861310820aadd","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus",NA
"ad8991870b8bdd236d97d01487ddadc6","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",NA
"d0c34b21c7c96271a1bc5f7fe82df3a0","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Zoogloea",NA
"a06f5fd3db9f925457a537135871f616","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium",NA
"54f25a2b09b2c1a1517c8b5472eca178","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Cloacibacterium",NA
"fdcd6808ef8269653d25dce4a55a025d","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",NA
"d43ad42f3b1625379a2429c10f419eda","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Alloiococcus",NA
"2ea79eaaa0b23b2a7d2cf470cbaf72ea","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter",NA
"b3fef1e26b7b6ac20847ede4da68547a","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"7db357a4adb452de8504d8ca1ddb3f99","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium",NA
"6694ca246e895a4f1d7e1d077cc27f5d","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermacoccaceae","Dermacoccus",NA
"145ebc1f8ab3b2896eb631008973c0b4","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma",NA
"47ad35356a9bfec68416d32e4f039021","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"7e54570d21f03dfcefff07151a8c2d54","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae","Brachybacterium",NA
"053c4d5b8717b60387f777efae437b40","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA
"2c61ba77eb8ea89ea85728bd0022ac09","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter",NA
"a36d070ba91e6c48d0c79036200d0b20","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella",NA
"ab2ef9bffd8e25c75290c0a2f6a8f85c","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus",NA
"f4909ad74d5b44aa7c3694798c21ea87","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia",NA
"2594fcf48955bec7b61a5ce4aefa3868","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"1141f30eddb626a3a1151a19445eadfe","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Allobaculum",NA
"2be34a58b64107daf7b5426302feeff7","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Kocuria",NA
"ce33f26f3bd4784cdb63910753fa0792","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia",NA
"30fc8af207d17abc37394fbf3d1793f7","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Proteus",NA
"a544abd909afc727c4418e4e19eed417","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Pseudoramibacter_Eubacterium",NA
"e644522cf6d7222c9da7f9ecf614cd89","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Butyricimonas",NA
"0681937d15d01090c93f3fb99998d90c","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",NA
"9065d9fc5a50712e80be6f5dbef043d4","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"e4d915abc009819b3d89468b935271de","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","rc4-4",NA
"6240207fd3edd24bf0799b5f427423a0","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium",NA
"df3f8cdac76c62baa98469c33b82d8df","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Morganella",NA
"31fe7997ddfef193110db377890f9520","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges",NA
