,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
69,-0.008375220683956908,-0.16587470102433843,-0.13139405860868658,-0.1979057810270679,-0.09353364447350576,-0.19114379418629746,-0.16627418679233075,-0.16634356115306836,-0.1450488349240986,-0.18190044893771984
70,-0.006421957626242092,-0.14364479270769004,-0.07756973722487337,-0.1608256406050732,-0.10383840561062208,-0.09559883255625956,-0.1502031618446371,-0.08924169984210595,-0.09830485309335923,-0.10040175268653528
71,-0.007970628126635626,-0.12023647512436875,-0.09769885728598338,-0.15840728835913698,-0.08863164679738311,-0.10630824893504465,-0.12753375317280735,-0.18425002803149737,-0.2225651068553407,-0.2610164798992267
72,-0.0014801968406923383,-0.09612385691169001,-0.0910334540837312,-0.14273541773650988,-0.149939851338315,-0.14392353282439263,-0.11977591276309552,-0.1962984500962286,-0.17597471309924817,-0.11527372190228746
73,-0.014189217010174726,-0.22547043675771916,-0.19391333405615852,-0.22871757819392702,-0.14022617667935977,-0.12279564309929891,-0.16240679239062072,-0.14908443762149726,-0.11688969592695853,-0.1379202515528044
74,-0.014115007375355315,-0.13945405910622877,-0.12413217392573639,-0.16816908906977268,-0.1422517696980723,-0.13619042567546247,-0.14474944361964037,-0.10828492750536056,-0.15910678788191324,-0.15757953244778777
75,-0.032540670994581467,-0.13963268570576126,-0.09548998020921973,-0.15186535512511945,-0.09436370686054274,-0.12510421471154576,-0.10214605793116438,-0.20899794294434404,-0.22492975040821772,-0.17339947243832765
76,-0.0033957445112744455,-0.11588907255603975,-0.09443777600881842,-0.15843723221733264,-0.06901745096562006,-0.13476781869522703,-0.18094066670401587,-0.14168830935399956,-0.07148755205674084,-0.08610804252236459
77,0.0030732931110601935,-0.053230087873423315,-0.08651664674325477,-0.2353282623651114,-0.0833846736194852,-0.0690636410857417,-0.1321118638901433,-0.1175407715984198,-0.06779592127379952,-0.06956215438950797
78,-0.019284512676341903,-0.10644515678258526,-0.08724255960553196,-0.13333533787690421,-0.09360497597600359,-0.1252190411964369,-0.1961843397065064,-0.19927604337075233,-0.10905389270378696,-0.10415843361003896
79,-0.030608461920411667,-0.20164278419985848,-0.0703400656090778,-0.2209269333081132,-0.10358581298851655,-0.11019413658947474,-0.16627693224989337,-0.1099381139043647,-0.15690574654320621,-0.164295873376205
80,-0.0068638309989224044,-0.17458249574524953,-0.1026146354805193,-0.20683625290825836,-0.10997841592719904,-0.10905044264392094,-0.12822083488305025,-0.07418446526521527,-0.09287589069591062,-0.14884681824794388
81,-0.006145258135708875,-0.064309153994903,-0.15791502976201377,-0.13931618009529734,-0.11564603943377882,-0.15167152593635502,-0.10976175836118274,-0.10475153102412049,-0.09352126610607114,-0.16250675412298565
